Date,CIVPART
2015-04-01,62.8
2015-05-01,62.9
2015-06-01,62.7
2015-07-01,62.6
2015-08-01,62.6
2015-09-01,62.4
2015-10-01,62.5
2015-11-01,62.5
2015-12-01,62.7
2016-01-01,62.7
2016-02-01,62.8
2016-03-01,62.9
2016-04-01,62.8
2016-05-01,62.7
2016-06-01,62.7
2016-07-01,62.7
2016-08-01,62.9
2016-09-01,62.9
2016-10-01,62.8
2016-11-01,62.7
2016-12-01,62.7
2017-01-01,62.8
2017-02-01,62.8
2017-03-01,62.9
2017-04-01,63.0
2017-05-01,62.8
2017-06-01,62.8
2017-07-01,62.8
2017-08-01,62.9
2017-09-01,63.1
2017-10-01,62.7
2017-11-01,62.7
2017-12-01,62.7
2018-01-01,62.7
2018-02-01,63.0
2018-03-01,62.9
2018-04-01,62.9
2018-05-01,62.9
2018-06-01,63.0
2018-07-01,62.9
2018-08-01,62.7
2018-09-01,62.8
2018-10-01,62.9
2018-11-01,62.9
2018-12-01,63.0
2019-01-01,63.2
2019-02-01,63.1
2019-03-01,63.0
2019-04-01,62.8
2019-05-01,62.9
2019-06-01,63.0
2019-07-01,63.0
2019-08-01,63.2
2019-09-01,63.2
2019-10-01,63.3
2019-11-01,63.2
2019-12-01,63.2
2020-01-01,63.4
2020-02-01,63.4
2020-03-01,62.7
2020-04-01,60.2